objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237648721252188386,756,301,3,756,226,6,228.996368339912,-0.089750575600056,18.93224,17.67606,17.36433,17.25165,17.2107,0.01755732,0.005107798,0.005003415,0.005540521,0.01260456
1237648721252188396,756,301,3,756,236,6,228.995816653603,-0.0913119434949048,24.04034,22.69775,22.24692,21.71103,21.6571,0.6614017,0.1232176,0.1291323,0.1213315,0.43025
1237648721252189900,756,301,3,756,1740,6,228.983221549243,-0.0824656717139284,23.8763,21.51353,21.24495,21.28032,21.07244,0.5938569,0.04463195,0.05195493,0.07899059,0.2553478
1237648721252189899,756,301,3,756,1739,3,228.983469307761,-0.0810011111682632,22.24178,21.34129,20.92523,20.72201,20.83148,0.1916064,0.04294529,0.04453947,0.05540687,0.2367713
1237648721252189002,756,301,3,756,842,6,228.988099430067,-0.083413775230754,22.58356,21.6698,21.42127,21.28942,20.98198,0.2255233,0.04976999,0.05958007,0.07827153,0.2333347
1237648721252189904,756,301,3,756,1744,6,228.987041916456,-0.0786458784143781,24.17688,22.54053,22.15715,22.01299,21.50795,0.6622952,0.1034029,0.1136007,0.1501443,0.3624517
1237648721252189902,756,301,3,756,1742,6,228.983621897087,-0.0780082181112639,24.55527,22.65213,22.01844,22.10506,22.23093,0.6965061,0.1112945,0.09853929,0.158456,0.5543643
1237648721252189909,756,301,3,756,1749,3,228.985182648485,-0.0782871730772969,25.47918,24.51136,22.26421,23.67476,22.04211,0.7797315,0.6677172,0.1864644,0.8155993,0.7976821
1237648721252189901,756,301,3,756,1741,6,228.984758001349,-0.0790765549989395,23.46913,21.85394,21.53155,21.23942,21.88955,0.445536,0.05740669,0.06517441,0.07490857,0.4599928
1237648721252190775,756,301,3,756,2615,6,228.990740923372,-0.0848317472445878,23.30869,21.92135,21.52712,21.53134,20.75416,0.3902747,0.06047918,0.06486867,0.09612768,0.1920006
