"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"65717 (1993 BX3)","35","20.8","120 - 538","0","10.285, 346","11.943, 90","7130","2020-06 [16.2]","2020-11 [39]","2020-12 [29]","a0065717"
"(2017 OO19)","7","23.4","36 - 163","7","10.238, 370","11.967, 274","7107","2020-03 [23.5]","none","none","bK17O19O"
"(2009 KY1)","17","23.7","32 - 142","6","8.339, 370","11.974, 162","7099","? 2024-11 [20.6] ?","none","none","bK09K01Y"
"(2015 JR1)","8","26.1","10 - 47","5","9.272, 362","11.955, 298","7096","2025-05 [23.4]","none","none","bK15J01R"
"(2019 SF2)","17","23.3","38 - 170","0","10.155, 418","11.977, 170","7093","2020-03 [23.9]","none","none","bK19S02F"
"(2017 TD6)","6","27.2","6.3 - 28","6","9.058, 370","11.939, 298","7078","? 2044-03 [20.1] ?","none","none","bK17T06D"
"(2008 CD70)","9","27.2","6.3 - 28","6","8.609, 362","11.952, 306","7054","? 2045-08 [23.9] ?","none","none","bK08C70D"
"(2019 GT1)","19","24.9","18 - 81","3","9.985, 314","11.968, 234","7050","2022-01 [23.7]","none","none","bK19G01T"
"(2009 CE)","11","24.6","21 - 94","1","9.934, 362","11.983, 154","6972","2020-03 [22.0]","2036-01 [10]","none","bK09C00E"
"(2017 UO2)","4","25.8","12 - 54","7","10.018, 442","11.963, 338","6966","? 2033-09 [22.6] ?","none","none","bK17U02O"
"(2009 BG)","15","25.5","14 - 62","7","9.641, 362","11.956, 314","6959","? 2029-06 [23.8] ?","none","none","bK09B00G"
"424392 (2007 YJ)","28","21.9","73 - 324","0","9.835, 418","11.971, 330","6946","2021-10 [18.6]","2022-02 [890]","2022-02 [19]","a0424392"
"(2003 HT42)","14","24.8","19 - 85","6","9.790, 378","11.780, 90","6906","2039-03 [23.9]","none","2028-04 [22]","bK03H42T"
"(2007 TT24)","6","27.0","6.9 - 31","9","10.128, 370","11.992, 90","6875","? 2026-08 [21.1] ?","none","none","bK07T24T"
"(2014 FP47)","36","22.3","60 - 270","0","8.593, 370","11.953, 298","6831","2023-12 [21.9]","2024-10 [30]","2024-10 [11]","bK14F47P"
"(2011 HN24)","11","27.7","5.0 - 22","7","9.535, 426","11.861, 130","6806","none","none","none","bK11H24N"
"422686 (2000 AC6)","61","21.5","87 - 390","0","10.846, 354","11.981, 234","6803","2021-11 [20.5]","2026-01 [66]","none","a0422686"
"(2019 YP1)","3","27.4","5.8 - 26","7","9.801, 378","11.690, 90","6800","? 2036-11 [22.8] ?","none","none","bK19Y01P"
"(2016 UB107)","7","25.2","16 - 71","3","10.076, 330","11.806, 218","6778","2025-01 [23.3]","none","none","bK16UA7B"
"(2016 DP2)","7","25.9","11 - 51","7","10.788, 338","11.681, 258","6716","? 2024-03 [23.5] ?","none","none","bK16D02P"
"(2016 UW35)","10","24.5","22 - 98","5","8.497, 362","11.920, 210","6697","2021-08 [22.3]","none","none","bK16U35W"
"(2015 EF7)","12","24.4","23 - 103","0","9.207, 378","11.937, 258","6691","2023-01 [23.0]","none","none","bK15E07F"
"(2017 FX2)","13","26.0","11 - 49","6","10.441, 402","11.950, 154","6687","? 2035-01 [22.9] ?","none","none","bK17F02X"
"(2011 UV63)","26","21.7","80 - 356","1","8.671, 362","11.772, 130","6677","2020-03 [20.1]","2033-04 [1600]","2033-04 [41]","bK11U63V"
"(2004 DA53)","6","28.0","4.4 - 20","7","10.602, 378","11.921, 314","6640","none","none","none","bK04D53A"
"(2005 TC51)","6","27.3","6.0 - 27","7","10.505, 434","11.988, 386","6602","none","none","none","bK05T51C"
"(2017 UN7)","4","25.7","13 - 56","7","8.823, 370","11.972, 218","6530","none","none","none","bK17U07N"
"(2017 HZ49)","6","25.5","14 - 62","7","9.912, 386","11.790, 258","6530","none","none","none","bK17H49Z"
"(2019 TX)","1","28.7","3.2 - 14","7","9.208, 322","11.941, 170","6525","? 2038-09 [22.1] ?","none","none","bK19T00X"
"(2017 WZ27)","2","27.5","5.5 - 25","7","9.510, 370","11.995, 218","6509","none","none","none","bK17W27Z"
"(2018 TS6)","1","28.2","4.1 - 18","7","9.285, 362","11.981, 314","6487","none","none","none","bK18T06S"
"(2015 XC)","17","25.2","16 - 71","3","8.633, 378","11.928, 298","6454","2030-04 [20.8]","2030-05 [23]","none","bK15X00C"
"(2016 JX5)","6","26.9","7.3 - 32","7","9.850, 354","11.945, 218","6441","none","none","none","bK16J05X"
"(2018 RH6)","4","27.5","5.5 - 25","6","8.942, 450","11.963, 386","6423","none","none","none","bK18R06H"
"(2010 WS)","11","24.9","18 - 81","6","10.395, 378","11.989, 330","6386","? 2027-11 [23.7] ?","none","none","bK10W00S"
"(2020 BV7)","1","28.0","4.4 - 20","7","9.085, 362","11.978, 306","6377","none","none","none","bK20B07V"
"(2018 XN)","16","23.9","29 - 129","3","9.022, 306","11.846, 154","6369","2036-10 [23.9]","2042-03 [1700]","2042-03 [130]","bK18X00N"
"(2015 YH)","3","27.9","4.6 - 20","8","9.509, 354","11.992, 218","6355","none","none","none","bK15Y00H"
"(2006 AN)","14","24.3","24 - 107","0","10.421, 362","11.981, 282","6354","2021-11 [21.9]","none","none","bK06A00N"
"(2009 SN103)","11","27.6","5.3 - 23","5","9.721, 402","11.856, 242","6337","none","none","none","bK09SA3N"
"(2008 OT7)","11","27.1","6.6 - 30","7","9.654, 370","11.972, 330","6336","? 2031-07 [22.6] ?","none","none","bK08O07T"
"(2014 SB145)","11","26.3","10 - 43","7","9.845, 322","11.979, 194","6323","none","none","none","bK14SE5B"
"(2018 PD9)","3","27.4","5.8 - 26","7","9.667, 362","11.972, 242","6322","none","none","none","bK18P09D"
"(2017 FA159)","1","28.5","3.4 - 15","9","9.521, 306","11.954, 170","6291","? 2035-03 [21.6] ?","none","none","bK17FF9A"
"(2016 CK137)","7","27.3","6.0 - 27","7","10.183, 442","11.895, 322","6264","? 2038-07 [21.6] ?","none","none","bK16CD7K"
"(2017 BU32)","2","26.5","8.7 - 39","7","9.003, 362","11.937, 290","6263","? 2029-07 [22.1] ?","none","none","bK17B32U"
"(2017 QQ)","1","26.1","10 - 47","7","9.819, 370","11.950, 202","6183","none","none","none","bK17Q00Q"
"(2020 BW)","7","24.2","25 - 111","4","10.254, 386","11.935, 354","6169","2027-10 [22.4]","2029-02 [55]","none","bK20B00W"
"(2017 VS14)","9","26.8","7.6 - 34","6","10.125, 442","11.996, 194","6095","none","none","none","bK17V14S"
"(2011 PU1)","34","25.6","13 - 59","0","10.133, 362","11.932, 210","6066","2020-03 [23.0]","none","none","bK11P01U"
"(2008 FS6)","23","22.3","60 - 270","1","10.310, 386","11.887, 258","6053","2020-09 [22.0]","none","none","bK08F06S"
"(2016 HE19)","8","26.3","10 - 43","7","9.608, 370","11.964, 250","6046","? 2045-04 [23.6] ?","none","none","bK16H19E"
"(2019 UU7)","4","26.0","11 - 49","7","10.313, 338","11.884, 202","5958","? 2027-10 [21.1] ?","none","none","bK19U07U"
"(2015 FU117)","6","24.3","24 - 107","7","10.146, 370","11.956, 186","5921","? 2025-02 [21.3] ?","none","none","bK15FB7U"
"(2009 RH)","13","23.8","30 - 135","8","9.147, 338","11.991, 242","5906","? 2027-06 [23.7] ?","none","none","bK09R00H"
"(2018 RK6)","3","28.1","4.2 - 19","7","9.616, 306","11.946, 122","5884","? 2031-09 [22.8] ?","none","none","bK18R06K"
"(2015 DD1)","6","30.4","1.4 - 6.5","6","9.379, 338","11.980, 162","5875","none","none","none","bK15D01D"
"(2017 HF)","5","26.7","8.0 - 36","7","9.730, 370","11.981, 210","5867","? 2040-11 [23.6] ?","none","none","bK17H00F"
"(2019 BL2)","1","27.0","6.9 - 31","7","8.832, 362","11.824, 218","5867","none","none","none","bK19B02L"
"(2016 YF8)","7","22.6","53 - 235","7","9.301, 362","11.988, 218","5823","2021-07 [23.7]","none","none","bK16Y08F"
"(2013 XX8)","30","24.4","23 - 103","4","10.366, 434","11.877, 186","5794","2031-09 [22.3]","none","none","bK13X08X"
"(2006 BR98)","9","26.7","8.0 - 36","6","8.958, 362","11.875, 130","5775","? 2043-12 [21.4] ?","none","none","bK06B98R"
"(2015 XN55)","21","27.2","6.3 - 28","5","9.618, 402","11.969, 266","5764","none","none","none","bK15X55N"
"(2016 AE2)","4","26.4","9.1 - 41","8","10.072, 298","11.942, 162","5736","? 2028-12 [21.1] ?","none","none","bK16A02E"
"(2020 BZ4)","3","27.8","4.8 - 22","5","10.284, 410","11.990, 330","5705","none","none","none","bK20B04Z"
"(2020 CA3)","5","25.3","15 - 68","8","9.887, 346","11.923, 138","5690","2020-03 [19.7]","none","none","bK20C03A"
"(2016 HK)","15","24.8","19 - 85","3","9.770, 370","12.000, 322","5672","2031-03 [19.9]","2031-05 [4500]","2031-05 [100]","bK16H00K"
"(2010 VP139)","8","29.2","2.5 - 11","9","9.453, 362","11.957, 298","5645","none","none","none","bK10VD9P"
"(2018 QQ)","6","25.5","14 - 62","7","10.260, 362","11.896, 122","5634","? 2021-08 [21.9] ?","none","none","bK18Q00Q"
"(2020 CY2)","3","27.5","5.4 - 24","8","9.427, 378","11.947, 106","5620","2020-03 [21.6]","2020-03 [35]","none","bK20C02Y"
"(2011 EB74)","5","26.9","7.3 - 32","9","9.211, 370","11.974, 314","5602","none","none","none","bK11E74B"
"(2019 XQ1)","3","25.4","14 - 65","7","10.236, 418","11.873, 378","5597","? 2020-12 [20.2] ?","none","none","bK19X01Q"
"(2016 YN1)","9","23.6","33 - 148","4","8.537, 362","11.937, 178","5593","2021-11 [23.5]","none","none","bK16Y01N"
"(2018 TC5)","4","26.2","10 - 45","7","9.325, 370","11.902, 162","5555","? 2035-09 [23.1] ?","none","none","bK18T05C"
"(2020 DR4)","1","29.7","2.0 - 8.9","7","9.465, 346","11.913, 154","5438","2020-03 [23.8]","2020-03 [18]","none","bK20D04R"
"(2019 WS4)","7","24.5","22 - 98","6","8.648, 354","11.957, 154","5430","2020-03 [22.0]","none","none","bK19W04S"
"(2019 GK1)","4","26.4","9.1 - 41","7","9.672, 202","11.902, 154","5426","? 2038-03 [21.4] ?","none","none","bK19G01K"
"(2015 SO2)","20","23.9","29 - 129","1","9.586, 370","11.976, 338","5424","2020-07 [23.1]","none","none","bK15S02O"
"(2013 QE11)","8","26.4","9.1 - 41","7","9.291, 346","11.954, 122","5420","? 2038-08 [22.0] ?","none","none","bK13Q11E"
"(2016 HR6)","13","24.4","23 - 103","6","10.313, 426","11.917, 178","5414","? 2033-09 [23.8] ?","none","none","bK16H06R"
"(2013 BS45)","32","25.9","11 - 51","0","7.853, 450","11.912, 402","5409","none","none","none","bK13B45S"
"(2012 EM8)","16","24.7","20 - 89","7","9.840, 378","11.981, 106","5409","? 2020-03 [19.5] ?","none","none","bK12E08M"
"(2012 WS3)","11","26.0","11 - 49","7","10.202, 410","11.689, 330","5405","? 2025-04 [22.6] ?","none","none","bK12W03S"
"(2010 KE)","8","26.7","8.0 - 36","7","10.109, 362","11.996, 186","5402","none","none","none","bK10K00E"
"(2008 TD)","9","25.4","14 - 65","7","10.562, 370","11.980, 322","5370","? 2024-07 [23.3] ?","none","none","bK08T00D"
"(2015 HC1)","10","27.1","6.6 - 30","7","10.592, 450","11.858, 234","5352","none","none","none","bK15H01C"
"(2016 JL38)","5","25.7","13 - 56","7","9.103, 386","11.766, 354","5343","? 2034-04 [21.6] ?","none","none","bK16J38L"
"(2014 ST143)","4","23.8","30 - 135","9","9.117, 362","11.969, 274","5337","? 2023-08 [22.4] ?","none","none","bK14SE3T"
"(2015 DS)","14","24.9","18 - 81","7","10.282, 370","11.832, 210","5324","? 2029-01 [23.4] ?","none","none","bK15D00S"
"(2018 JU2)","1","28.6","3.3 - 15","7","9.558, 362","11.993, 226","5323","none","none","none","bK18J02U"
"(2016 FG39)","6","26.9","7.3 - 32","7","9.419, 370","11.973, 282","5290","? 2041-03 [23.0] ?","none","none","bK16F39G"
"(2018 MC5)","10","25.1","17 - 74","5","9.925, 450","11.953, 202","5266","2026-04 [23.8]","none","none","bK18M05C"
"512245 (2016 AU8)","119","19.9","182 - 815","0","10.464, 426","11.981, 354","5246","2020-03 [18.9]","2020-08 [14]","none","a0512245"
"(2018 NQ1)","2","25.1","17 - 74","7","9.322, 354","11.772, 178","5223","? 2043-05 [19.7] ?","none","none","bK18N01Q"
"(2019 YL)","9","25.8","12 - 54","6","9.680, 370","11.860, 234","5194","none","none","none","bK19Y00L"
"(2010 KJ37)","7","23.9","29 - 129","6","8.893, 378","11.820, 186","5177","2022-04 [22.3]","none","none","bK10K37J"
"(2015 FQ33)","6","26.7","8.0 - 36","8","9.795, 402","11.984, 170","5154","none","none","none","bK15F33Q"
"(2017 DP36)","2","28.3","3.8 - 17","7","8.997, 346","11.930, 114","5142","? 2037-02 [22.8] ?","none","none","bK17D36P"
"(2009 SW171)","12","26.1","10 - 47","7","10.429, 362","11.902, 218","5141","none","none","none","bK09SH1W"
"(2017 UE)","5","26.9","7.3 - 32","6","8.909, 378","11.965, 322","5088","? 2034-10 [19.9] ?","none","none","bK17U00E"
"(2014 TM)","6","26.2","10 - 45","7","8.725, 354","11.973, 130","5048","? 2021-08 [17.1] ?","none","none","bK14T00M"
"(2018 VE)","5","28.2","4.0 - 18","7","9.449, 370","11.948, 298","5023","none","none","none","bK18V00E"
"(2001 WJ4)","7","27.4","5.8 - 26","6","9.712, 370","11.881, 146","4992","? 2039-10 [23.6] ?","none","none","bK01W04J"
"(2014 KO2)","5","28.2","4.0 - 18","7","9.437, 394","11.918, 114","4946","? 2037-06 [23.6] ?","none","none","bK14K02O"
"(2000 TE2)","13","24.9","18 - 81","7","9.133, 378","11.905, 130","4937","? 2044-07 [19.0] ?","none","none","bK00T02E"
"(2015 RN35)","31","23.1","42 - 187","1","8.758, 274","11.942, 106","4928","2022-07 [13.3]","2022-12 [9.6e4]","2022-12 [3.6e4]","bK15R35N"
"(2018 RU3)","18","23.0","44 - 195","3","10.372, 418","11.983, 346","4919","2020-10 [22.6]","2032-08 [35]","none","bK18R03U"
"(2006 BX7)","9","24.6","21 - 94","7","9.375, 386","11.861, 322","4907","? 2023-01 [23.3] ?","none","none","bK06B07X"
"(2018 WK)","1","27.1","6.6 - 30","6","10.635, 394","11.930, 338","4893","? 2035-11 [20.7] ?","none","none","bK18W00K"
"(2018 KT2)","3","26.9","7.3 - 32","7","9.108, 354","11.987, 290","4892","none","none","none","bK18K02T"
"(2016 UA6)","5","25.8","12 - 54","6","10.337, 378","11.915, 330","4891","? 2029-10 [20.6] ?","none","none","bK16U06A"
"(2004 MO3)","28","22.2","63 - 282","0","10.062, 362","11.985, 314","4886","2021-11 [23.8]","2026-01 [28]","none","bK04M03O"
"(1993 DA)","12","26.4","9.1 - 41","6","8.934, 362","11.914, 194","4884","? 2041-02 [23.3] ?","none","none","bJ93D00A"
"(2016 JJ17)","13","22.9","46 - 205","3","10.211, 394","11.980, 354","4844","2028-04 [22.9]","none","none","bK16J17J"
"(2015 EG)","30","25.6","13 - 59","0","10.789, 346","11.968, 314","4840","2023-03 [21.6]","2023-03 [230]","none","bK15E00G"
"(2015 KR120)","7","22.8","48 - 214","7","9.503, 346","11.995, 266","4828","2025-03 [23.6]","none","none","bK15KC0R"
"(2015 KF)","8","25.1","17 - 74","2","9.324, 386","11.964, 346","4804","none","none","none","bK15K00F"
"(2012 TP231)","6","25.0","17 - 78","7","9.605, 354","11.982, 274","4803","2038-08 [23.7]","none","none","bK12TN1P"
"(2017 SF14)","15","24.4","23 - 103","5","9.968, 226","11.698, 162","4751","2020-05 [21.9]","none","none","bK17S14F"
"(2014 HH123)","8","24.4","23 - 103","7","8.639, 370","11.919, 306","4738","? 2032-09 [23.3] ?","none","none","bK14HC3H"
"(2018 UY1)","13","24.1","26 - 118","6","10.791, 394","11.996, 298","4726","2023-09 [22.7]","none","none","bK18U01Y"
"(2014 DH)","6","26.6","8.3 - 37","7","9.581, 450","11.946, 402","4694","? 2024-06 [22.8] ?","none","none","bK14D00H"
"(2017 VL1)","4","26.5","8.7 - 39","7","10.586, 378","11.909, 354","4691","? 2030-11 [21.6] ?","none","none","bK17V01L"
"(2005 ER70)","11","24.7","20 - 89","7","9.286, 370","11.996, 274","4673","? 2024-02 [23.5] ?","none","none","bK05E70R"
"(2018 TM3)","2","29.7","2.0 - 8.9","6","10.649, 450","11.954, 210","4668","none","none","none","bK18T03M"
"(2016 JF6)","12","24.1","26 - 118","6","8.883, 370","11.913, 298","4659","2020-11 [23.8]","none","none","bK16J06F"
"(2018 BX)","2","29.1","2.6 - 12","6","9.032, 362","11.836, 122","4641","none","none","none","bK18B00X"
"(2017 FM127)","2","25.6","13 - 59","6","9.797, 370","11.956, 314","4638","? 2039-02 [22.2] ?","none","none","bK17FC7M"
"(2012 XZ132)","9","24.7","20 - 89","8","9.936, 378","11.982, 274","4617","? 2038-05 [18.3] ?","none","none","bK12XD2Z"
"(2016 CA29)","9","28.7","3.2 - 14","6","9.327, 338","11.917, 162","4613","? 2039-01 [19.8] ?","none","none","bK16C29A"
"(2014 HP197)","4","26.2","10 - 45","9","9.544, 362","11.936, 170","4609","? 2023-04 [23.7] ?","none","none","bK14HJ7P"
"(2017 YF7)","19","23.6","33 - 148","4","10.082, 362","11.959, 250","4599","2021-05 [23.1]","none","none","bK17Y07F"
"(2010 XT10)","10","26.5","8.7 - 39","7","9.556, 386","11.906, 82","4590","? 2028-11 [23.9] ?","none","none","bK10X10T"
"(2016 TR55)","7","23.0","44 - 195","6","10.495, 378","11.984, 330","4586","2023-01 [23.1]","none","none","bK16T55R"
"(2013 FB8)","25","24.9","18 - 81","3","10.040, 346","11.962, 226","4580","2027-03 [24.0]","none","none","bK13F08B"
"292220 (2006 SU49)","61","19.4","229 - 1026","0","9.141, 370","11.903, 58","4579","2021-04 [20.5]","2023-12 [33]","2029-01 [1.2e5]","a0292220"
"(2017 HV3)","26","23.7","32 - 142","3","9.103, 362","11.973, 258","4578","2021-12 [23.3]","none","none","bK17H03V"
"(2019 CL2)","24","23.3","38 - 170","2","9.617, 338","11.999, 226","4573","2021-12 [23.7]","2038-04 [17]","2030-07 [4200]","bK19C02L"
"(2004 FJ31)","6","24.0","28 - 124","8","10.055, 354","11.978, 282","4549","? 2024-01 [23.2] ?","none","none","bK04F31J"
"(2014 HV196)","3","26.7","8.0 - 36","9","9.601, 370","11.885, 194","4543","? 2039-04 [23.3] ?","none","none","bK14HJ6V"
"(2018 HO)","5","26.7","8.0 - 36","7","10.272, 370","11.840, 178","4534","? 2021-03 [23.9] ?","none","none","bK18H00O"
"(2016 JN6)","8","25.9","11 - 51","5","10.361, 450","11.924, 218","4532","2037-07 [23.7]","none","none","bK16J06N"
"(2018 UE1)","8","26.7","8.0 - 36","5","10.208, 450","11.988, 354","4510","none","none","none","bK18U01E"
"(2013 UM9)","14","24.6","21 - 94","0","8.886, 386","11.961, 274","4454","2021-03 [23.8]","none","none","bK13U09M"
"(2006 SK61)","12","26.1","10 - 47","6","10.488, 450","11.968, 234","4417","none","none","none","bK06S61K"
"(2009 SS)","6","26.7","8.0 - 36","9","9.555, 354","11.940, 202","4416","none","none","none","bK09S00S"
"(2013 ES11)","17","23.7","32 - 142","7","10.055, 386","11.943, 346","4412","2034-09 [22.7]","2042-04 [10]","none","bK13E11S"
"(2017 RP15)","4","26.5","8.7 - 39","7","9.718, 386","11.838, 218","4402","none","none","none","bK17R15P"
"(2020 BV2)","2","27.8","4.8 - 21","8","9.224, 378","11.883, 66","4392","none","none","none","bK20B02V"
"(2017 AG21)","3","20.9","113 - 507","9","9.317, 354","11.786, 146","4391","? 2024-03 [22.7] ?","none","none","bK17A21G"
"(2018 BX5)","2","28.9","2.9 - 13","7","9.861, 370","11.962, 298","4374","none","none","none","bK18B05X"
"(2016 CE)","4","28.5","3.5 - 16","6","10.644, 370","11.975, 274","4358","none","none","none","bK16C00E"
"(2017 AT4)","12","26.6","8.3 - 37","6","10.500, 442","11.950, 210","4346","none","none","none","bK17A04T"
"(2016 EN156)","9","27.8","4.8 - 21","6","9.682, 370","11.912, 210","4339","none","none","none","bK16EF6N"
"(2016 UA41)","12","24.4","23 - 103","6","9.042, 370","11.782, 314","4339","2020-11 [23.8]","none","none","bK16U41A"
"(2014 KP2)","4","26.7","8.0 - 36","8","8.960, 362","11.994, 154","4318","? 2027-05 [21.0] ?","none","none","bK14K02P"
"(2015 TM143)","18","23.6","33 - 148","4","9.134, 370","11.998, 322","4303","2021-07 [23.0]","2045-04 [21]","none","bK15TE3M"
"(2017 CX1)","3","28.2","4.0 - 18","6","9.344, 386","11.868, 98","4298","none","none","none","bK17C01X"
"(2009 SJ18)","9","24.6","21 - 94","6","9.310, 362","11.965, 210","4267","? 2043-08 [22.3] ?","none","none","bK09S18J"
"(2018 VB10)","5","25.8","12 - 54","6","10.279, 354","11.921, 314","4262","2020-11 [23.8]","none","none","bK18V10B"
"(2015 XZ378)","7","27.2","6.3 - 28","5","8.998, 450","11.997, 386","4223","none","none","none","bK15Xb8Z"
"(2012 EJ5)","5","27.7","5.0 - 22","7","9.377, 394","11.988, 90","4221","? 2037-04 [21.8] ?","none","none","bK12E05J"
"(2016 JU28)","4","27.7","5.0 - 22","7","10.218, 354","11.949, 274","4217","? 2043-05 [23.5] ?","none","none","bK16J28U"
"(2019 LD5)","3","23.3","38 - 170","5","10.984, 442","11.960, 322","4216","2024-03 [20.1]","2036-06 [13]","none","bK19L05D"
"(2017 DB)","7","27.0","6.9 - 31","6","9.121, 370","11.982, 314","4203","none","none","none","bK17D00B"
"(2013 NJ)","72","22.0","69 - 310","0","10.241, 370","11.912, 202","4119","2020-03 [22.4]","2032-08 [960]","2032-09 [30]","bK13N00J"
"(2016 NJ33)","16","25.6","13 - 59","0","10.401, 378","11.992, 154","4095","2022-05 [21.7]","2022-07 [21]","none","bK16N33J"
"401954 (2002 RW25)","35","18.8","302 - 1352","1","10.502, 402","11.957, 330","4092","2020-06 [19.1]","none","none","a0401954"
"(2018 RY1)","15","24.4","23 - 103","5","10.358, 354","11.997, 226","4073","2021-07 [19.9]","2024-10 [36]","2027-10 [120]","bK18R01Y"
"(2010 TB54)","7","26.8","7.6 - 34","7","8.696, 370","11.987, 298","4066","? 2027-03 [21.8] ?","none","none","bK10T54B"
"(2006 SR131)","12","28.0","4.4 - 20","7","9.894, 330","11.895, 250","4057","? 2025-05 [23.4] ?","none","none","bK06SD1R"
"(2010 EN44)","21","24.3","24 - 109","9","9.114, 362","11.843, 154","4052","? 2021-05 [22.6] ?","none","none","bK10E44N"
